report,specs_driven,completed_specs,partial_or_blocked,session_active_tokens,operator_active_tokens,cache_read,observed_cost,paid_cost_only,tokens_per_completed_spec,paid_cost_per_completed_spec
2026-07-03T22-27-34Z-operator,4,4,0,266424,281878,22717943,18.33,18.33,66606,4.58
2026-06-21,13,10,3,1713766,525500,182300000,200.84,200.84,171376,20.08
2026-06-22,11,11,0,1504177,654200,138200000,172.44,172.44,136743,15.68
2026-06-23-operator,6,6,0,583394,247538,47900000,69.46,69.46,97232,11.58
2026-06-23-wrapup,6,6,0,636000,256800,73800000,95.78,95.78,106000,15.96
2026-06-24-operator,11,10,1,1756886,239335,68200000,127.04,127.04,175688,12.7
2026-06-25T11-31-26Z-operator,6,6,0,671629,262300,54200000,76.41,76.41,111938,12.73
2026-06-25T22-27-28Z-operator,6,4,2,551530,192800,35100000,61.67,61.67,137882,15.42
2026-06-27T03-35-08Z-operator,17,11,6,2171362,564500,165500000,203.08,203.08,197396,18.46
2026-06-27T12-41-55Z-operator,10,10,0,2808971,251800,55900000,102.43,102.43,280897,10.24
2026-06-27T18-36-37Z-operator,8,8,0,1616558,318600,72900000,77.09,77.09,202069,9.64
2026-06-27T20-09-41Z-owner,1,1,0,364718,0,0,2.14,2.14,364718,2.14
2026-06-27T20-15-06Z-owner,1,1,0,500502,0,0,3.12,3.12,500502,3.12
2026-06-28T02-00-00Z-fix-commit-ready-order,0,0,0,0,190000,27400000,22.1,22.1,,
2026-06-28T04-26-07Z-operator,4,4,0,2377690,224200,70800000,69.35,69.35,594422,17.34
2026-06-28T12-39-28Z-operator,2,2,0,643675,53000,10500000,21.4,21.4,321837,10.7
2026-06-28T13-40-00Z-operator,3,3,0,685182,86900,12500000,15.62,15.57,228394,5.19
2026-06-28T23-01-08Z-operator,3,3,0,195462,91000,16700000,12.45,12.3,65154,4.1
2026-06-29T04-57-44Z-operator,5,5,0,1035430,113500,19600000,17.19,16.95,207086,3.39
2026-06-29T14-20-08Z-operator,6,6,0,738927,1060577,28569088,21.35,21.07,123154,3.51
2026-06-29T19-52-38Z-operator,3,3,0,204690,410450,3935799,1.93,1.78,68230,0.59
2026-06-30T04-05-24Z-operator,5,5,0,370012,1195011,15523913,8.89,8.66,74002,1.73
2026-06-30T16-18-56Z-operator,6,6,0,707881,1735540,45328256,36.56,36.34,117980,6.06
2026-06-30T22-02-18Z-operator,6,6,0,472328,812990,19127457,6.7,6.35,78721,1.06
2026-07-01T04-24-23Z-operator,11,11,0,439487,2729701,62886467,33.51,33.51,39953,3.05
2026-07-03T19-51-28Z-operator,3,3,0,188407,93298,93300000,45.15,45.15,62802,15.05
2026-07-05T03-58-26Z-operator,12,12,0,3136067,398140,519700000,209.13,209.13,261339,17.43
2026-07-05T13-50-52Z-operator,3,3,0,604134,227573,94131427,105.53,105.53,201378,35.18
2026-07-06T02-29-16Z-operator,7,7,0,563078,191037,227532322,105.73,105.73,80440,15.10
2026-07-07T04-14-50Z-operator,38,38,0,2636377,785100,286704033,408.50,408.19,69378,10.74
2026-07-09T18-19-29Z-operator,28,28,0,3759824,290131,187439290,235.96,235.96,134279,8.43
2026-07-10T03-36-27Z-operator,3,3,0,241399,471500,150200000,122.87,122.87,80466,40.96
2026-07-11T00-01-14Z-operator,4,4,0,1143609,201643,33000000,57.25,57.20,285902,14.30
2026-07-11T00-13-10Z-operator,3,3,0,239001,35137,15570654,21.05,21.05,79667,7.02
2026-07-11T10-30-00Z-operator-v2-seeds-00-04,5,5,0,4098839,111972,124052757,68.06,68.06,842162,13.61
2026-07-11T23-30-00Z-operator-v1-seed-and-v2-seeds-05-09,12,12,0,4218158,293900,167700000,177.45,177.45,351513,14.79
2026-07-12T22-00-00Z-operator-v2-dogfooding,14,13,1,4532152,275800,213300000,209.96,209.96,348627,16.15
2026-07-13T07-00-00Z-operator-v2-preset-sweep-and-p0-p1,15,14,1,1002817,276630,242141631,208.28,208.28,71629,14.88
2026-07-13T20-30-00Z-operator-review-gate-root-cause,3,2,1,70997,144800,36400000,33.93,33.93,,16.97
2026-07-14T00-30-00Z-operator-p0-complete,5,4,1,133975,85214,32800000,30.16,30.16,33494,7.54
2026-07-14T05-30-00Z-operator-p1,7,4,3,445979,130564,93200000,101.76,101.76,111495,25.44
2026-07-14T05-00-00Z-operator,11,10,1,186852,237720,155410842,82.42,82.42,18685,8.24
2026-07-16T00-38-20Z-operator,10,10,0,5014289,435700,177400000,138.96,138.96,501429,13.90
2026-07-16T06-45-00Z-operator,12,8,4,,672338,132300000,83.33,83.33,,10.42
2026-07-16T21-09-36Z-operator,6,5,1,637193,185300,92400000,75.57,75.57,127439,15.11
2026-07-16T22-30-00Z-operator,6,3,3,7817237,152200,30800000,38.09,38.09,2605745,12.70
TOTAL,361,333,28,63687065,18193817,4355071879,4036.02,4033.99,191252,12.11
